,director_name,actor_2_name,actor_1_name,clean_title,cast_total_facebook_likes,actor_3_name,language,country,content_rating,imdb_score,movieId,year,genres,budget,original_title,popularity,revenue,title,language_n,year_n,country_n,content_rating_n,director_name_n,actor_1_name_n,actor_2_name_n,actor_3_name_n
14,Zack Snyder,Christopher Meloni,Henry Cavill,man of steel,20495,Harry Lennix,English,USA,PG-13,7.2,103042,2013,IMAX|Sci-Fi|Action|Fantasy|Adventure,225000000,Man of Steel,18.538834,662845518.0,Man of Steel,1,5,1,1,6,4,6,7
15,Rob Marshall,Sam Claflin,Johnny Depp,pirates of the caribbean: on stranger tides,54083,Stephen Graham,English,USA,PG-13,6.7,86880,2011,Action|IMAX|Fantasy|Adventure,380000000,Pirates of the Caribbean: On Stranger Tides,27.88772,1045713802.0,Pirates of the Caribbean: On Stranger Tides,1,5,1,1,5,27,2,4
16,Peter Jackson,Adam Brown,Aidan Turner,the hobbit: the battle of the five armies,9152,James Nesbitt,English,New Zealand,PG-13,7.5,118696,2014,Adventure|Fantasy,250000000,The Hobbit: The Battle of the Five Armies,31.718977000000002,956019788.0,The Hobbit: The Battle of the Five Armies,1,5,3,1,3,1,1,4
17,Ridley Scott,William Hurt,Mark Addy,robin hood,3244,Scott Grimes,English,USA,PG-13,6.7,3034,1973,History|Children|Animation|Action|Adventure|Drama|Comedy|Musical,15000000,Robin Hood,11.179855,32056467.0,Robin Hood,1,3,1,1,13,4,10,2
29,Peter Jackson,Thomas Kretschmann,Naomi Watts,king kong,7123,Evan Parke,English,New Zealand,PG-13,7.2,2366,1933,Romance|Action|Adventure|Drama|Fantasy|Horror,672000,King Kong,8.73274,10000000.0,King Kong,1,1,3,1,3,14,7,1
56,James Cameron,Kate Winslet,Leonardo DiCaprio,titanic,45223,Gloria Stuart,English,USA,PG-13,7.7,1721,1997,Drama|Romance,200000000,Titanic,26.88907,1845034188.0,Titanic,1,5,1,1,5,13,17,1
65,Peter Berg,Alexander Skarsgård,Liam Neeson,battleship,26679,Tadanobu Asano,English,USA,PG-13,5.9,94018,2012,IMAX|Sci-Fi|Thriller|Action|Adventure,209000000,Battleship,13.106966,303025485.0,Battleship,1,5,1,1,4,24,5,1
66,Sam Mendes,Helen McCrory,Albert Finney,skyfall,2039,Rory Kinnear,English,UK,PG-13,7.8,96079,2012,Action|IMAX|Thriller|Adventure,200000000,Skyfall,20.309585000000002,1108561013.0,Skyfall,1,5,2,1,6,5,2,3
68,Sam Raimi,James Franco,J.K. Simmons,spider-man 2,43388,Kirsten Dunst,English,USA,PG-13,7.3,8636,2004,Sci-Fi|IMAX|Romance|Action|Fantasy|Adventure,200000000,Spider-Man 2,10.834506,783766341.0,Spider-Man 2,1,5,1,1,6,22,21,22
69,Shane Black,Jon Favreau,Robert Downey Jr.,iron man 3,30426,Don Cheadle,English,USA,PG-13,7.2,102125,2013,IMAX|Sci-Fi|Thriller|Action|Adventure,200000000,Iron Man 3,23.721242999999998,1215439994.0,Iron Man 3,1,5,1,1,2,20,15,12
70,Tim Burton,Alan Rickman,Johnny Depp,alice in wonderland,79957,Anne Hathaway,English,USA,PG,6.5,1032,1951,Children|Animation|Family|Adventure|Fantasy|Musical,3000000,Alice in Wonderland,16.488937,572000000.0,Alice in Wonderland,1,2,1,2,14,27,9,14
178,Brett Ratner,Kelsey Grammer,Hugh Jackman,x-men: the last stand,21714,Daniel Cudmore,English,Canada,PG-13,6.8,45499,2006,Sci-Fi|Thriller|Action|Fantasy|Adventure,210000000,X-Men: The Last Stand,0.867943,459359555.0,X-Men: The Last Stand,1,5,4,1,9,15,6,1
179,Dan Scanlon,Tyler Labine,Steve Buscemi,monsters university,14863,Sean Hayes,English,USA,G,7.3,103141,2013,Family|Animation|Adventure|Fantasy|Comedy,200000000,Monsters University,16.267502,743559607.0,Monsters University,1,5,1,3,1,30,6,2
180,Michael Bay,Kevin Dunn,Glenn Morshower,transformers: revenge of the fallen,3218,Ramon Rodriguez,English,USA,PG-13,6.0,69526,2009,Action|IMAX|Sci-Fi|Adventure,150000000,Transformers: Revenge of the Fallen,4.351756,836297228.0,Transformers: Revenge of the Fallen,1,5,1,1,10,3,8,3
181,Michael Bay,Sophia Myles,Bingbing Li,transformers: age of extinction,3988,Kelsey Grammer,English,USA,PG-13,5.7,112370,2014,Action|Sci-Fi|Adventure,210000000,Transformers: Age of Extinction,18.495599,1091405097.0,Transformers: Age of Extinction,1,5,1,1,10,3,4,6
182,Marc Webb,Andrew Garfield,Emma Stone,the amazing spider-man 2,28631,B.J. Novak,English,USA,PG-13,6.7,110553,2014,IMAX|Sci-Fi|Action|Fantasy|Adventure,200000000,The Amazing Spider-Man 2,26.23687,705717432.0,The Amazing Spider-Man 2,1,5,1,1,1,6,3,3
183,Joseph Kosinski,Olivia Wilde,Jeff Bridges,tron: legacy,25550,James Frain,English,USA,PG,6.8,82461,2010,Action|IMAX|Sci-Fi|Adventure,170000000,TRON: Legacy,21.259,400062763.0,TRON: Legacy,1,5,1,2,2,14,9,8
185,John Lasseter,Thomas Kretschmann,Joe Mantegna,cars 2,4482,Eddie Izzard,English,USA,G,6.3,87876,2011,IMAX|Children|Family|Animation|Adventure|Comedy|Sport,200000000,Cars 2,13.693001999999998,559852396.0,Cars 2,1,5,1,3,4,6,7,7
186,Martin Campbell,Temuera Morrison,Ryan Reynolds,green lantern,17657,Taika Waititi,English,USA,PG-13,5.6,87430,2011,Action|Sci-Fi|Adventure,200000000,Green Lantern,13.985631,219851172.0,Green Lantern,1,5,1,1,6,11,3,1
187,Lee Unkrich,John Ratzenberger,Tom Hanks,toy story 3,19085,Don Rickles,English,USA,G,8.3,78499,2010,IMAX|Children|Family|Animation|Adventure|Fantasy|Comedy,200000000,Toy Story 3,16.96647,1066969703.0,Toy Story 3,1,5,1,3,1,20,9,3
188,McG,Bryce Dallas Howard,Christian Bale,terminator salvation,27468,Common,English,USA,PG-13,6.6,68791,2009,Action|Sci-Fi|Thriller|Adventure,200000000,Terminator Salvation,16.507496,371353001.0,Terminator Salvation,1,5,1,1,6,17,6,7
189,Marc Forster,Brad Pitt,Peter Capaldi,world war z,32392,Mireille Enos,English,USA,PG-13,7.0,103249,2013,Sci-Fi|IMAX|Thriller|Action|Horror|Adventure|Drama,200000000,World War Z,26.114917000000002,531865000.0,World War Z,1,5,1,1,7,2,24,3
190,Bryan Singer,Peter Dinklage,Jennifer Lawrence,x-men: days of future past,91434,Hugh Jackman,English,USA,PG-13,8.0,111362,2014,Sci-Fi|Thriller|Action|Fantasy|Adventure,250000000,X-Men: Days of Future Past,26.058586,747862775.0,X-Men: Days of Future Past,1,5,1,1,5,8,7,15
191,J.J. Abrams,Bruce Greenwood,Benedict Cumberbatch,star trek into darkness,21411,Noel Clarke,English,USA,PG-13,7.8,102445,2013,Action|IMAX|Sci-Fi|Adventure,190000000,Star Trek Into Darkness,15.78129,467365246.0,Star Trek Into Darkness,1,5,1,1,4,7,17,1
192,Bryan Singer,Ewen Bremner,Eddie Marsan,jack the giant slayer,1766,Ralph Brown,English,USA,PG-13,6.3,101025,2013,Adventure|IMAX|Fantasy,195000000,Jack the Giant Slayer,11.606061,197687603.0,Jack the Giant Slayer,1,5,1,1,5,10,6,2
193,Baz Luhrmann,Elizabeth Debicki,Leonardo DiCaprio,the great gatsby,29770,Steve Bisley,English,Australia,PG-13,7.3,121618,1926,Drama|Romance,6500000,The Great Gatsby,5.702637999999999,26533200.0,The Great Gatsby,1,1,5,1,2,13,1,2
201,Mike Newell,Richard Coyle,Jake Gyllenhaal,prince of persia: the sands of time,16149,Reece Ritchie,English,USA,PG-13,6.6,78105,2010,IMAX|Romance|Action|Fantasy|Adventure,150000000,Prince of Persia: The Sands of Time,18.459954999999997,335154643.0,Prince of Persia: The Sands of Time,1,5,1,1,7,14,3,1
202,Guillermo del Toro,Clifton Collins Jr.,Charlie Hunnam,pacific rim,19166,Larry Joe Campbell,English,USA,PG-13,7.0,103228,2013,Action|IMAX|Sci-Fi|Adventure,180000000,Pacific Rim,33.949359,407602906.0,Pacific Rim,1,5,1,1,4,6,8,2
203,Michael Bay,Lester Speight,Glenn Morshower,transformers: dark of the moon,2593,Kevin Dunn,English,USA,PG-13,6.3,87520,2011,IMAX|Sci-Fi|Action|Adventure|War,195000000,Transformers: Dark of the Moon,4.5035050000000005,1123746996.0,Transformers: Dark of the Moon,1,5,1,1,10,3,1,8
204,Steven Spielberg,Ray Winstone,Harrison Ford,indiana jones and the kingdom of the crystal skull,14959,Jim Broadbent,English,USA,PG-13,6.2,59615,2008,Sci-Fi|Action|Fantasy|Adventure|Comedy,185000000,Indiana Jones and the Kingdom of the Crystal Skull,12.577266,786636033.0,Indiana Jones and the Kingdom of the Crystal Skull,1,5,1,1,19,20,12,20
205,Mark Andrews,John Ratzenberger,Kelly Macdonald,brave,5005,Julie Walters,English,USA,PG,7.2,95167,2012,Children|Family|Animation|Adventure|Fantasy|Action|Comedy,185000000,Brave,15.876341,538983207.0,Brave,1,5,1,2,1,6,9,8
207,Andrew Stanton,Fred Willard,John Ratzenberger,wall·e,2975,Jeff Garlin,English,USA,G,8.4,60069,2008,Sci-Fi|Children|Romance|Family|Animation|Adventure,180000000,WALL·E,16.088366,521311860.0,WALL·E,1,5,1,3,3,9,8,5
208,Brett Ratner,Dana Ivey,Tzi Ma,rush hour 3,1125,Noémie Lenoir,English,USA,PG-13,6.2,54648,2007,Action|Crime|Comedy|Thriller,140000000,Rush Hour 3,9.718111,258022233.0,Rush Hour 3,1,5,1,1,9,3,3,1
209,Roland Emmerich,Liam James,Oliver Platt,2012,2144,Tom McCarthy,English,USA,PG-13,5.8,72378,2009,Sci-Fi|Thriller|Action|Adventure|Drama,200000000,2012,16.698628,769653595.0,2012,1,5,1,1,4,20,1,2
210,Lana Wachowski,Mila Kunis,Channing Tatum,jupiter ascending,47334,Eddie Redmayne,English,USA,PG-13,5.4,113345,2015,Action|Sci-Fi|Adventure,176000003,Jupiter Ascending,21.463465,183987723.0,Jupiter Ascending,1,6,1,1,3,15,10,4
211,Christopher Nolan,Heath Ledger,Christian Bale,the dark knight,57802,Morgan Freeman,English,USA,PG-13,9.0,130219,2011,Action|Drama|Crime|Thriller,185000000,The Dark Knight,123.167259,1004558444.0,The Dark Knight,1,5,1,1,6,17,5,33
213,Pete Docter,Delroy Lindo,John Ratzenberger,up,2635,Jess Harnell,English,USA,PG,8.3,68954,2009,Children|Family|Animation|Adventure|Drama|Comedy,175000000,Up,19.330884,735099082.0,Up,1,5,1,2,2,9,9,1
214,Jon Favreau,Jeff Bridges,Robert Downey Jr.,iron man,39252,Jon Favreau,English,USA,PG-13,7.9,59315,2008,Action|Sci-Fi|Adventure,140000000,Iron Man,22.073099,585174222.0,Iron Man,1,5,1,1,4,20,14,15
217,Martin Scorsese,Christopher Lee,Chloë Grace Moretz,hugo,36017,Ray Winstone,English,USA,PG,7.5,90866,2011,Mystery|Children|Family|Adventure|Drama,170000000,Hugo,14.046164000000001,185770160.0,Hugo,1,5,1,2,13,9,9,12
218,Barry Sonnenfeld,Salma Hayek,Will Smith,wild wild west,15870,Bai Ling,English,USA,PG-13,4.8,2701,1999,Action|Sci-Fi|Comedy|Western,170000000,Wild Wild West,9.887602000000001,222104681.0,Wild Wild West,1,5,1,1,3,13,14,5
219,Tom Shadyac,Morgan Freeman,Jimmy Bennett,evan almighty,108016,Steve Carell,English,USA,PG,5.4,53993,2007,Family|Comedy|Fantasy,175000000,Evan Almighty,9.156877,173000000.0,Evan Almighty,1,5,1,2,6,7,33,16
220,Doug Liman,Lara Pulver,Tom Cruise,edge of tomorrow,12652,Noah Taylor,English,USA,PG-13,7.9,111759,2014,Action|IMAX|Sci-Fi|Adventure,178000000,Edge of Tomorrow,31.982986,370541256.0,Edge of Tomorrow,1,5,1,1,6,21,1,5
221,Kevin Reynolds,Rick Aviles,Jeanne Tripplehorn,waterworld,1004,Zakes Mokae,English,USA,PG-13,6.1,208,1995,Action|Sci-Fi|Thriller|Adventure,175000000,Waterworld,16.885184,264218220.0,Waterworld,1,5,1,1,4,5,1,1
222,Stephen Sommers,Dennis Quaid,Joseph Gordon-Levitt,g.i. joe: the rise of cobra,26683,Leo Howard,English,USA,PG-13,5.8,70336,2009,Action|Sci-Fi|Thriller|Adventure,175000000,G.I. Joe: The Rise of Cobra,11.787058,302469017.0,G.I. Joe: The Rise of Cobra,1,5,1,1,2,14,15,2
223,Jon Favreau,Scarlett Johansson,Robert Downey Jr.,iron man 2,48638,Jon Favreau,English,USA,PG-13,7.0,77561,2010,IMAX|Sci-Fi|Thriller|Action|Adventure,200000000,Iron Man 2,19.083344,623933331.0,Iron Man 2,1,5,1,1,4,20,16,15
224,Rupert Sanders,Kristen Stewart,Chris Hemsworth,snow white and the huntsman,72881,Sam Claflin,English,USA,PG-13,6.1,94780,2012,Action|Drama|Fantasy|Adventure,170000000,Snow White and the Huntsman,18.751554000000002,396600000.0,Snow White and the Huntsman,1,5,1,1,1,8,12,2
225,Robert Stromberg,Sharlto Copley,Angelina Jolie Pitt,maleficent,15516,Sam Riley,English,USA,PG,7.0,111659,2014,IMAX|Children|Romance|Family|Action|Fantasy|Adventure,180000000,Maleficent,19.467404000000002,758539785.0,Maleficent,1,5,1,2,1,19,4,3
226,Matt Reeves,Judy Greer,Gary Oldman,dawn of the planet of the apes,14363,Kodi Smit-McPhee,English,USA,PG-13,7.6,112623,2014,Action|Drama|Sci-Fi|Adventure,170000000,Dawn of the Planet of the Apes,75.385211,710644566.0,Dawn of the Planet of the Apes,1,5,1,1,3,13,16,3
227,Carl Rinsch,Cary-Hiroyuki Tagawa,Keanu Reeves,47 ronin,20965,Jin Akanishi,English,USA,PG-13,6.3,106491,2013,Action|Drama|Fantasy|Adventure,175000000,47 Ronin,14.889370000000001,150962475.0,47 Ronin,1,5,1,1,1,13,6,1
229,Anthony Russo,Chris Evans,Scarlett Johansson,captain america: the winter soldier,36188,Hayley Atwell,English,USA,PG-13,7.8,110102,2014,Action|IMAX|Sci-Fi|Adventure,170000000,Captain America: The Winter Soldier,18.717704,714766572.0,Captain America: The Winter Soldier,1,5,1,1,3,16,9,4
230,Don Hall,Daniel Henney,Damon Wayans Jr.,big hero 6,2963,Abraham Benrubi,English,USA,PG,7.9,115617,2014,Sci-Fi|Animation|Family|Action|Adventure|Drama|Comedy,165000000,Big Hero 6,213.84990699999997,652105443.0,Big Hero 6,1,5,1,2,1,3,2,2
231,Rich Moore,Sarah Silverman,Jack McBrayer,wreck-it ralph,4451,Joe Lo Truglio,English,USA,PG,7.8,97913,2012,Sci-Fi|Family|Animation|Adventure|Comedy,165000000,Wreck-It Ralph,13.697597,471222889.0,Wreck-It Ralph,1,5,1,2,1,4,6,6
232,Dean DeBlois,America Ferrera,Gerard Butler,how to train your dragon,20453,Craig Ferguson,English,USA,PG,8.2,76093,2010,IMAX|Children|Family|Animation|Adventure|Fantasy,165000000,How to Train Your Dragon,14.416681,494878759.0,How to Train Your Dragon,1,5,1,2,3,20,5,2
233,Jonathan Mostow,M.C. Gainey,Nick Stahl,terminator 3: rise of the machines,1769,Carolyn Hennesy,English,USA,R,6.4,6537,2003,Action|Sci-Fi|Adventure,200000000,Terminator 3: Rise of the Machines,20.818907,435000000.0,Terminator 3: Rise of the Machines,1,5,1,4,4,2,6,1
234,James Gunn,Vin Diesel,Bradley Cooper,guardians of the galaxy,32438,Djimon Hounsou,English,USA,PG-13,8.1,112852,2014,Action|Sci-Fi|Adventure,170000000,Guardians of the Galaxy,53.291601,773328629.0,Guardians of the Galaxy,1,5,1,1,3,9,9,12
235,Christopher Nolan,Anne Hathaway,Matthew McConaughey,interstellar,31488,Mackenzie Foy,English,USA,PG-13,8.6,109487,2014,Adventure|Drama|Sci-Fi|IMAX,165000000,Interstellar,32.213481,675120017.0,Interstellar,1,5,1,1,6,19,14,1
236,Christopher Nolan,Tom Hardy,Leonardo DiCaprio,inception,81115,Joseph Gordon-Levitt,English,USA,PG-13,8.8,79132,2010,Sci-Fi|Mystery|IMAX|Thriller|Crime|Action|Adventure|Drama,160000000,Inception,29.108148999999997,825532764.0,Inception,1,5,1,1,6,13,9,14
237,Matthew Vaughn,Michael Fassbender,Jennifer Lawrence,x-men: first class,50983,Oliver Platt,English,USA,PG-13,7.8,87232,2011,Sci-Fi|Thriller|Action|Adventure|War,160000000,X-Men: First Class,0.738633,353624124.0,X-Men: First Class,1,5,1,1,4,8,10,20
238,Wolfgang Petersen,Mike Vogel,Jimmy Bennett,poseidon,92456,Andre Braugher,English,USA,PG-13,5.6,45442,2006,IMAX|Thriller|Action|Adventure|Drama,160000000,Poseidon,6.581669000000001,181674817.0,Poseidon,1,5,1,1,4,7,5,5
239,Chris Miller,Eric Idle,Justin Timberlake,shrek the third,4705,Rupert Everett,English,USA,PG,6.1,53121,2007,Children|Family|Animation|Adventure|Fantasy|Comedy,160000000,Shrek the Third,14.072479000000001,798958165.0,Shrek the Third,1,5,1,2,1,9,6,7
240,Michael Bay,Jaime King,Jennifer Garner,pearl harbor,5401,Mako,English,USA,PG-13,6.1,4310,2001,History|Romance|Action|Drama|War,140000000,Pearl Harbor,11.419388,449220945.0,Pearl Harbor,1,5,1,1,10,8,5,8
241,Michael Bay,Michael O'Neill,Zack Ward,transformers,2333,Kevin Dunn,English,USA,PG-13,7.1,53996,2007,IMAX|Sci-Fi|Thriller|Action|Adventure,150000000,Transformers,5.587707,709709780.0,Transformers,1,5,1,1,10,5,6,8
242,Oliver Stone,Angelina Jolie Pitt,Anthony Hopkins,alexander,24598,Brian Blessed,English,Germany,R,5.5,8977,2004,History|Romance|Biography|Action|Adventure|Drama|War,155000000,Alexander,13.498641000000001,167298192.0,Alexander,1,5,6,4,13,20,19,5
243,David Yates,Daniel Radcliffe,Robert Pattinson,harry potter and the order of the phoenix,33433,Fiona Shaw,English,UK,PG-13,7.5,54001,2007,IMAX|Mystery|Family|Adventure|Fantasy|Drama,150000000,Harry Potter and the Order of the Phoenix,21.3643,938212738.0,Harry Potter and the Order of the Phoenix,1,5,2,1,2,4,5,2
244,Mike Newell,Daniel Radcliffe,Robert Pattinson,harry potter and the goblet of fire,53413,Rupert Grint,English,UK,PG-13,7.6,40815,2005,IMAX|Mystery|Thriller|Family|Adventure|Fantasy,150000000,Harry Potter and the Goblet of Fire,24.903057999999998,895921036.0,Harry Potter and the Goblet of Fire,1,5,2,1,7,4,5,6
245,Peter Berg,Charlize Theron,Will Smith,hancock,21584,Eddie Marsan,English,USA,PG-13,6.4,60074,2008,Crime|Action|Adventure|Drama|Fantasy|Comedy,150000000,Hancock,11.017324,624029371.0,Hancock,1,5,1,1,4,13,13,10
246,Francis Lawrence,Alice Braga,Will Smith,i am legend,13076,Willow Smith,English,USA,PG-13,7.2,56174,2007,Sci-Fi|IMAX|Thriller|Horror|Action|Drama,150000000,I Am Legend,11.379355,585349010.0,I Am Legend,1,5,1,1,3,13,5,2
247,Tim Burton,Christopher Lee,Johnny Depp,charlie and the chocolate factory,57844,David Kelly,English,USA,PG,6.7,30793,2005,IMAX|Children|Family|Adventure|Fantasy|Comedy,150000000,Charlie and the Chocolate Factory,22.038404999999997,474968763.0,Charlie and the Chocolate Factory,1,5,1,2,14,27,9,3
248,Brad Bird,John Ratzenberger,Janeane Garofalo,ratatouille,4764,Brian Dennehy,English,USA,G,8.0,50872,2007,Children|Animation|Family|Fantasy|Drama|Comedy,150000000,Ratatouille,20.508029999999998,623722818.0,Ratatouille,1,5,1,3,2,9,9,6
249,Christopher Nolan,Liam Neeson,Christian Bale,batman begins,59558,Morgan Freeman,English,USA,PG-13,8.3,33794,2005,Action|IMAX|Crime|Adventure,150000000,Batman Begins,28.505340999999998,374218673.0,Batman Begins,1,5,1,1,6,17,24,33
250,Eric Darnell,Jada Pinkett Smith,Bernie Mac,madagascar: escape 2 africa,3285,Cedric the Entertainer,English,USA,PG,6.7,62999,2008,IMAX|Children|Family|Animation|Action|Adventure|Comedy,150000000,Madagascar: Escape 2 Africa,12.668733,603900354.0,Madagascar: Escape 2 Africa,1,5,1,2,5,10,10,8
251,Shawn Levy,Rami Malek,Robin Williams,night at the museum: battle of the smithsonian,54039,Steve Coogan,English,USA,PG,5.9,68793,2009,IMAX|Family|Adventure|Fantasy|Action|Comedy,150000000,Night at the Museum: Battle of the Smithsonian,15.417181,413106170.0,Night at the Museum: Battle of the Smithsonian,1,5,1,2,9,23,4,12
252,Gavin Hood,Ryan Reynolds,Hugh Jackman,x-men origins: wolverine,40054,Dominic Monaghan,English,USA,PG-13,6.7,68319,2009,Sci-Fi|Thriller|Action|Fantasy|Adventure,150000000,X-Men Origins: Wolverine,1.456541,373062864.0,X-Men Origins: Wolverine,1,5,1,1,4,15,11,1
253,Chris Buck,Maurice LaMarche,Josh Gad,frozen,2582,Livvy Stubenrauch,English,USA,PG,7.6,75395,2010,Family|Animation|Thriller|Adventure|Fantasy|Drama|Horror|Comedy|Musical,0,Frozen,10.245682,3065860.0,Frozen,1,5,1,2,1,3,2,1
262,Alan Taylor,Natalie Portman,Chris Hemsworth,thor: the dark world,59803,Anthony Hopkins,English,USA,PG-13,7.1,106072,2013,Action|IMAX|Fantasy|Adventure,170000000,Thor: The Dark World,34.905446999999995,644571402.0,Thor: The Dark World,1,5,1,1,1,8,17,20
263,Ron Howard,Ayelet Zurer,Tom Hanks,angels & demons,16948,Armin Mueller-Stahl,English,USA,PG-13,6.7,68554,2009,Thriller|Drama|Mystery|Crime,150000000,Angels & Demons,22.211558,356613439.0,Angels & Demons,1,5,1,1,10,20,4,2
264,Kenneth Branagh,Natalie Portman,Chris Hemsworth,thor,60059,Anthony Hopkins,English,USA,PG-13,7.0,86332,2011,IMAX|Action|Fantasy|Drama|Adventure,150000000,Thor,29.158489000000003,449326618.0,Thor,1,5,1,1,7,8,17,20
265,Byron Howard,Diedrich Bader,Chloë Grace Moretz,bolt,20007,James Lipton,English,USA,PG,6.9,63859,2008,Children|Family|Animation|Adventure|Action|Drama|Comedy,150000000,Bolt,15.580915,309979994.0,Bolt,1,5,1,2,1,9,7,1
266,Hoyt Yeatman,Piper Mackenzie Harris,Kelli Garner,g-force,2217,Niecy Nash,English,USA,PG,5.1,70697,2009,Sci-Fi|Children|Family|Animation|Action|Adventure|Fantasy|Comedy,150000000,G-Force,9.163791,292817841.0,G-Force,1,5,1,2,1,6,1,1
267,Jonathan Liebesman,Edgar Ramírez,Liam Neeson,wrath of the titans,16184,Lily James,English,USA,PG-13,5.8,93766,2012,Action|IMAX|Fantasy|Adventure,150000000,Wrath of the Titans,7.739903999999999,301000000.0,Wrath of the Titans,1,5,1,1,3,24,6,2
268,Tim Burton,Chloë Grace Moretz,Johnny Depp,dark shadows,80849,Christopher Lee,English,USA,PG-13,6.2,94478,2012,Fantasy|IMAX|Comedy|Horror,150000000,Dark Shadows,10.665859,245527149.0,Dark Shadows,1,5,1,1,14,27,9,9
269,Steve Hickner,Oprah Winfrey,Matthew Broderick,bee movie,6576,Rip Torn,English,USA,PG,6.2,55768,2007,Adventure|Family|Comedy|Animation,150000000,Bee Movie,8.774374,287594577.0,Bee Movie,1,5,1,2,1,9,4,9
270,Jennifer Yuh Nelson,Gary Oldman,Angelina Jolie Pitt,kung fu panda 2,21015,Mike Bell,English,USA,PG,7.3,87222,2011,IMAX|Children|Family|Animation|Action|Adventure|Comedy,150000000,Kung Fu Panda 2,11.481921,665692281.0,Kung Fu Panda 2,1,5,1,2,1,19,13,1
271,J.J. Abrams,Tom Cruise,Philip Seymour Hoffman,mission: impossible iii,34817,Eddie Marsan,English,USA,PG-13,6.9,45186,2006,Action|Thriller|Adventure,150000000,Mission: Impossible III,15.687983,397850012.0,Mission: Impossible III,1,5,1,1,4,18,21,10
272,Roland Emmerich,Jake Weber,Channing Tatum,white house down,18204,Matt Craven,English,USA,PG-13,6.4,103339,2013,Action|IMAX|Drama|Thriller,150000000,White House Down,9.920223,205366737.0,White House Down,1,5,1,1,4,15,3,3
273,Simon Wells,Dan Fogler,Elisabeth Harnois,mars needs moms,2652,Tom Everett Scott,English,USA,PG,5.4,85261,2011,Sci-Fi|Children|IMAX|Family|Animation|Action|Adventure|Comedy,150000000,Mars Needs Moms,7.24717,38992758.0,Mars Needs Moms,1,5,1,2,1,1,5,6
274,David Bowers,Kate Winslet,Hugh Jackman,flushed away,35161,David Suchet,English,UK,PG,6.7,48982,2006,Adventure|Family|Comedy|Animation,149000000,Flushed Away,9.922577,64459316.0,Flushed Away,1,5,2,2,4,15,17,2
