,movieId,title,genres_x,year,color,director_name,num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,gross,genres_y,actor_1_name,num_voted_users,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,plot_keywords,movie_imdb_link,num_user_for_reviews,language,country,content_rating,budget,title_year,actor_2_facebook_likes,imdb_score,aspect_ratio,movie_facebook_likes,id
20,44,mortal kombat,Action|Adventure|Fantasy,1995,Color,Paul W.S. Anderson,72.0,101.0,545.0,545.0,Cary-Hiroyuki Tagawa,1000.0,70360285.0,Action|Adventure|Fantasy|Sci-Fi|Thriller,Christopher Lambert,81783,3816,Bridgette Wilson-Sampras,0.0,based on video game|island|mortal kombat|tournament|warrior,http://www.imdb.com/title/tt0113855/?ref_=fn_tt_tt_1,283.0,English,USA,PG-13,18000000.0,1995.0,1000.0,5.8,1.85,0,2168
21,45,to die for,Comedy|Drama|Thriller,1995,Color,Gus Van Sant,59.0,106.0,835.0,458.0,Wayne Knight,1000.0,21200000.0,Comedy|Crime|Drama,Kurtwood Smith,34774,3598,Holland Taylor,0.0,career|fame|murder|new hampshire|television,http://www.imdb.com/title/tt0114681/?ref_=fn_tt_tt_1,162.0,English,USA,R,20000000.0,1995.0,967.0,6.8,1.85,1000,2237
22,48,pocahontas,Animation|Children|Drama|Musical|Romance,1995,Color,Mike Gabriel,92.0,84.0,12.0,752.0,Frank Welker,23000.0,141600000.0,Adventure|Animation|Drama|Family|History|Musical|Romance,Christian Bale,119675,26754,Irene Bedard,1.0,actor playing multiple roles|love|one word title|unsubtitled foreign language|virginia,http://www.imdb.com/title/tt0114148/?ref_=fn_tt_tt_1,216.0,English,USA,G,55000000.0,1995.0,2000.0,6.6,1.78,0,839
23,57,home for the holidays,Drama,1995,Color,Jodie Foster,45.0,103.0,0.0,801.0,Holly Hunter,21000.0,17518220.0,Comedy|Drama|Romance,Robert Downey Jr.,9105,25263,Steve Guttenberg,1.0,dinner|gay interest|gay sibling|homosexual|thanksgiving,http://www.imdb.com/title/tt0113321/?ref_=fn_tt_tt_1,76.0,English,USA,PG-13,20000000.0,1995.0,1000.0,6.6,1.85,0,2255
24,61,eye for an eye,Drama|Thriller,1996,Color,John Schlesinger,31.0,101.0,154.0,497.0,Beverly D'Angelo,1000.0,53146000.0,Crime|Drama|Thriller,Joe Mantegna,9845,3174,Philip Baker Hall,1.0,justice|rape|self defense|support group|vigilante,http://www.imdb.com/title/tt0116260/?ref_=fn_tt_tt_1,77.0,English,USA,R,20000000.0,1996.0,816.0,6.1,1.85,613,2221
25,120299,eye for an eye,(no genres listed),1966,Color,John Schlesinger,31.0,101.0,154.0,497.0,Beverly D'Angelo,1000.0,53146000.0,Crime|Drama|Thriller,Joe Mantegna,9845,3174,Philip Baker Hall,1.0,justice|rape|self defense|support group|vigilante,http://www.imdb.com/title/tt0116260/?ref_=fn_tt_tt_1,77.0,English,USA,R,20000000.0,1996.0,816.0,6.1,1.85,613,2221
26,62,mr. holland's opus,Drama,1995,Color,Stephen Herek,42.0,143.0,65.0,320.0,Olympia Dukakis,975.0,82528097.0,Drama|Music,Alicia Witt,30230,2223,Jean Louisa Kelly,1.0,1990s|high school|high school teacher|teacher inspires students|teaching,http://www.imdb.com/title/tt0113862/?ref_=fn_tt_tt_1,154.0,English,USA,PG,6500000.0,1995.0,345.0,7.3,2.35,0,1573
27,69,friday,Comedy,1995, Black and White,F. Gary Gray,20.0,97.0,473.0,624.0,John Witherspoon,826.0,27900000.0,Comedy|Drama,Nia Long,74626,3455,Tony Cox,1.0,bully|drug dealer|first part|neighbor|neighborhood,http://www.imdb.com/title/tt0113118/?ref_=fn_tt_tt_1,157.0,English,USA,R,3500000.0,1995.0,723.0,7.3,1.85,8000,3987
28,70,from dusk till dawn,Action|Comedy|Horror|Thriller,1996,Color,Robert Rodriguez,165.0,108.0,0.0,844.0,Salma Hayek,16000.0,25753840.0,Crime|Fantasy|Horror,Quentin Tarantino,219091,23296,Cheech Marin,2.0,brother|human versus vampire|rapist|stripper|vampire,http://www.imdb.com/title/tt0116367/?ref_=fn_tt_tt_1,592.0,English,USA,R,19000000.0,1996.0,4000.0,7.3,1.85,12000,2253
29,71,fair game,Action,1995,Color,Doug Liman,214.0,108.0,218.0,405.0,Ty Burrell,6000.0,9528092.0,Biography|Drama|Thriller,Naomi Watts,38513,10191,Brooke Smith,2.0,bush administration|cia|interview|iraq|new york times,http://www.imdb.com/title/tt0977855/?ref_=fn_tt_tt_1,127.0,English,USA,PG-13,22000000.0,2010.0,3000.0,6.8,2.35,9000,1022
30,81641,fair game,Drama|Thriller,2010,Color,Doug Liman,214.0,108.0,218.0,405.0,Ty Burrell,6000.0,9528092.0,Biography|Drama|Thriller,Naomi Watts,38513,10191,Brooke Smith,2.0,bush administration|cia|interview|iraq|new york times,http://www.imdb.com/title/tt0977855/?ref_=fn_tt_tt_1,127.0,English,USA,PG-13,22000000.0,2010.0,3000.0,6.8,2.35,9000,1022
31,81,things to do in denver when you're dead,Crime|Drama|Romance,1995,Color,Gary Fleder,52.0,115.0,39.0,642.0,Bill Cobbs,12000.0,529766.0,Crime|Drama,Steve Buscemi,22345,14889,Treat Williams,2.0,death|finger gun|video message|what happened to epilogue|wheelchair,http://www.imdb.com/title/tt0114660/?ref_=fn_tt_tt_1,144.0,English,USA,R,7000000.0,1995.0,970.0,6.8,1.85,0,2736
32,86,white squall,Action|Adventure|Drama,1996,Color,Ridley Scott,37.0,129.0,0.0,982.0,Jason Marsden,12000.0,10300000.0,Adventure|Drama,Jeff Bridges,17859,16237,Ethan Embry,4.0,acrophobia|jamaica|male bonding|prostitute|tragedy,http://www.imdb.com/title/tt0118158/?ref_=fn_tt_tt_1,89.0,English,USA,PG-13,38000000.0,1996.0,1000.0,6.6,2.35,911,1358
33,92,mary reilly,Drama|Horror|Thriller,1996,Color,Stephen Frears,46.0,108.0,350.0,77.0,Bronagh Gallagher,8000.0,5600000.0,Drama|Horror|Romance|Thriller,Julia Roberts,11913,8349,George Cole,1.0,19th century|butler|housemaid|laboratory|servant,http://www.imdb.com/title/tt0117002/?ref_=fn_tt_tt_1,97.0,English,USA,R,47000000.0,1996.0,115.0,5.8,1.85,616,1063
34,93,vampire in brooklyn,Comedy|Horror|Romance,1995,Color,Wes Craven,34.0,100.0,0.0,364.0,W. Earl Brown,723.0,19900000.0,Comedy|Fantasy|Horror|Romance,John Witherspoon,17262,2348,Allen Payne,1.0,blood|destiny|nightmare|partner|vampire,http://www.imdb.com/title/tt0114825/?ref_=fn_tt_tt_1,53.0,English,USA,R,20000000.0,1995.0,422.0,4.5,1.85,1000,2785
35,95,broken arrow,Action|Adventure|Thriller,1996,Color,John Woo,72.0,108.0,610.0,461.0,Samantha Mathis,848.0,70450000.0,Action|Crime|Thriller,Delroy Lindo,77390,2913,Bob Gunton,2.0,captain|desert|major|park ranger|utah,http://www.imdb.com/title/tt0115759/?ref_=fn_tt_tt_1,189.0,English,USA,R,50000000.0,1996.0,517.0,6.0,2.35,0,666
36,54121,broken arrow,Drama|Romance|Western,1950,Color,John Woo,72.0,108.0,610.0,461.0,Samantha Mathis,848.0,70450000.0,Action|Crime|Thriller,Delroy Lindo,77390,2913,Bob Gunton,2.0,captain|desert|major|park ranger|utah,http://www.imdb.com/title/tt0115759/?ref_=fn_tt_tt_1,189.0,English,USA,R,50000000.0,1996.0,517.0,6.0,2.35,0,666
37,100,city hall,Drama|Thriller,1996,Color,Harold Becker,50.0,111.0,17.0,889.0,Martin Landau,14000.0,20300000.0,Drama|Thriller,Al Pacino,16741,17877,Bridget Fonda,2.0,drug dealer|mayor|new york city|probation|scandal,http://www.imdb.com/title/tt0115907/?ref_=fn_tt_tt_1,60.0,English,USA,R,40000000.0,1996.0,940.0,6.2,1.85,309,1288
38,101,bottle rocket,Adventure|Comedy|Crime|Romance,1996,Color,Wes Anderson,83.0,91.0,0.0,65.0,Darryl Cox,387.0,1040879.0,Comedy|Crime|Drama,Andrew Wilson,54478,648,Lumi Cavazos,0.0,caper|escapade|motel|robbery|texas,http://www.imdb.com/title/tt0115734/?ref_=fn_tt_tt_1,184.0,English,USA,R,7000000.0,1996.0,96.0,7.1,1.85,0,3787
39,103,unforgettable,Mystery|Sci-Fi|Thriller,1996,,,14.0,60.0,,405.0,Dylan Walsh,654.0,,Drama|Mystery,Poppy Montgomery,12854,1906,Dallas Roberts,1.0,hyperthymesia|new york city|police,http://www.imdb.com/title/tt1842530/?ref_=fn_tt_tt_1,44.0,,USA,,,,426.0,6.7,,0,2459
40,104,happy gilmore,Comedy,1996,Color,Dennis Dugan,77.0,92.0,221.0,491.0,Kevin Nealon,11000.0,38624000.0,Comedy|Sport,Adam Sandler,156143,13162,Frances Bay,1.0,golf|golf ball|golfer|grandmother's house|tournament,http://www.imdb.com/title/tt0116483/?ref_=fn_tt_tt_1,289.0,English,USA,PG-13,12000000.0,1996.0,503.0,7.0,1.85,0,3104
41,110,braveheart,Action|Drama|War,1995,Color,Mel Gibson,132.0,178.0,0.0,403.0,Patrick McGoohan,906.0,75600000.0,Biography|Drama|History|War,Mhairi Calvey,736638,1976,James Robinson,1.0,14th century|legend|revolt|scotland|tyranny,http://www.imdb.com/title/tt0112573/?ref_=fn_tt_tt_1,1065.0,English,USA,R,72000000.0,1995.0,466.0,8.4,2.35,17000,573
42,111,taxi driver,Crime|Drama|Thriller,1976,Color,Martin Scorsese,211.0,110.0,17000.0,595.0,Albert Brooks,22000.0,,Crime|Drama,Robert De Niro,507063,23525,Peter Boyle,1.0,loner|neo noir|night shift|taxi driver|vigilante,http://www.imdb.com/title/tt0075314/?ref_=fn_tt_tt_1,881.0,English,USA,R,1300000.0,1976.0,745.0,8.3,1.85,35000,4535
43,122,boomerang,Comedy|Romance,1992,Color,Reginald Hudlin,21.0,117.0,71.0,547.0,Eartha Kitt,723.0,70100000.0,Comedy|Drama|Romance,John Witherspoon,20183,3841,Geoffrey Holder,1.0,advertising|battle of the sexes|dating|one word title|womanizer,http://www.imdb.com/title/tt0103859/?ref_=fn_tt_tt_1,41.0,English,USA,R,40000000.0,1992.0,558.0,5.4,1.85,0,1158
44,64519,boomerang,Crime|Drama|Film-Noir,1947,Color,Reginald Hudlin,21.0,117.0,71.0,547.0,Eartha Kitt,723.0,70100000.0,Comedy|Drama|Romance,John Witherspoon,20183,3841,Geoffrey Holder,1.0,advertising|battle of the sexes|dating|one word title|womanizer,http://www.imdb.com/title/tt0103859/?ref_=fn_tt_tt_1,41.0,English,USA,R,40000000.0,1992.0,558.0,5.4,1.85,0,1158
45,125,flirting with disaster,Comedy,1996,Color,David O. Russell,50.0,92.0,737.0,380.0,Mary Tyler Moore,718.0,14891000.0,Comedy,Lily Tomlin,15088,2240,David Patrick Kelly,3.0,adoption|armpit fetish|mistaken identity|new mexico|overalls,http://www.imdb.com/title/tt0116324/?ref_=fn_tt_tt_1,105.0,English,USA,R,7000000.0,1996.0,524.0,6.8,1.85,824,3488
46,132,jade,Thriller,1995,Color,William Friedkin,50.0,107.0,607.0,602.0,Chazz Palminteri,2000.0,9795017.0,Crime|Drama|Thriller,Michael Biehn,9227,5461,Linda Fiorentino,0.0,blackmail|investigation|murder|panties pulled down|prostitution,http://www.imdb.com/title/tt0113451/?ref_=fn_tt_tt_1,70.0,English,USA,R,50000000.0,1995.0,979.0,5.1,1.85,422,1025
47,137,man of the year,Documentary,1995,Color,Barry Levinson,111.0,115.0,272.0,1000.0,Tina Fey,49000.0,37442180.0,Comedy|Drama|Romance|Thriller,Robin Williams,28005,52571,Amy Poehler,1.0,campaign|election|president|presidential election|satire,http://www.imdb.com/title/tt0483726/?ref_=fn_tt_tt_1,236.0,English,USA,PG-13,20000000.0,2006.0,2000.0,6.2,2.35,0,2199
48,48593,man of the year,Comedy|Thriller,2006,Color,Barry Levinson,111.0,115.0,272.0,1000.0,Tina Fey,49000.0,37442180.0,Comedy|Drama|Romance|Thriller,Robin Williams,28005,52571,Amy Poehler,1.0,campaign|election|president|presidential election|satire,http://www.imdb.com/title/tt0483726/?ref_=fn_tt_tt_1,236.0,English,USA,PG-13,20000000.0,2006.0,2000.0,6.2,2.35,0,2199
49,145,bad boys,Action|Comedy|Crime|Drama|Thriller,1995,Color,Michael Bay,63.0,119.0,0.0,244.0,Tchéky Karyo,10000.0,65807024.0,Action|Comedy|Crime|Drama|Thriller,Will Smith,172405,11013,Theresa Randle,0.0,drugs|heroin|murder|police|witness,http://www.imdb.com/title/tt0112442/?ref_=fn_tt_tt_1,203.0,English,USA,R,19000000.0,1995.0,345.0,6.8,1.85,0,2052
50,26462,bad boys,Crime|Drama|Thriller,1983,Color,Michael Bay,63.0,119.0,0.0,244.0,Tchéky Karyo,10000.0,65807024.0,Action|Comedy|Crime|Drama|Thriller,Will Smith,172405,11013,Theresa Randle,0.0,drugs|heroin|murder|police|witness,http://www.imdb.com/title/tt0112442/?ref_=fn_tt_tt_1,203.0,English,USA,R,19000000.0,1995.0,345.0,6.8,1.85,0,2052
51,150,apollo 13,Adventure|Drama|IMAX,13,Color,Ron Howard,159.0,140.0,2000.0,552.0,Miko Hughes,15000.0,172071312.0,Adventure|Drama|History,Tom Hanks,208817,17171,Kathleen Quinlan,0.0,cape kennedy|news footage|reference to christopher columbus|rocket|trapped in space,http://www.imdb.com/title/tt0112384/?ref_=fn_tt_tt_1,296.0,English,USA,PG,62000000.0,1995.0,968.0,7.6,2.35,5000,655
52,151,rob roy,Action|Drama|Romance|War,1995,Color,Michael Caton-Jones,44.0,139.0,105.0,902.0,Jason Flemyng,14000.0,31600000.0,Adventure|Biography,Liam Neeson,34427,16125,Eric Stoltz,1.0,18th century|highlands|scotland|sexual cruelty|sword fight,http://www.imdb.com/title/tt0114287/?ref_=fn_tt_tt_1,126.0,English,USA,R,28000000.0,1995.0,1000.0,6.9,2.35,0,1778
53,153,batman forever,Action|Adventure|Comedy|Crime,1995,Color,Joel Schumacher,144.0,121.0,541.0,680.0,Rene Auberjonois,920.0,184031112.0,Action|Adventure|Fantasy,Michael Gough,190786,2880,Debi Mazar,4.0,love|necktie|partner|rock music|tuxedo,http://www.imdb.com/title/tt0112462/?ref_=fn_tt_tt_1,539.0,English,USA,PG-13,100000000.0,1995.0,710.0,5.4,1.85,0,309
54,158,casper,Adventure|Children,1995,Color,Brad Silberling,26.0,100.0,52.0,394.0,Fred Rogers,795.0,100328194.0,Comedy|Family|Fantasy,Eric Idle,85903,2638,Cathy Moriarty,0.0,casper|friendly ghost|ghost|maine|mansion,http://www.imdb.com/title/tt0112642/?ref_=fn_tt_tt_1,92.0,English,USA,PG,50000000.0,1995.0,419.0,6.0,1.85,0,847
55,160,congo,Action|Adventure|Mystery|Sci-Fi,1995,Color,Frank Marshall,55.0,109.0,155.0,293.0,Joe Don Baker,426.0,81022333.0,Action|Adventure|Mystery|Sci-Fi,Dylan Walsh,34471,1761,Grant Heslov,0.0,captain|congo|expedition|laser|lost city,http://www.imdb.com/title/tt0112715/?ref_=fn_tt_tt_1,147.0,English,USA,PG-13,50000000.0,1995.0,387.0,5.0,1.85,0,948
56,161,crimson tide,Drama|Thriller|War,1995,Color,Tony Scott,82.0,123.0,12000.0,665.0,Viggo Mortensen,18000.0,91400000.0,Action|Drama|Thriller|War,Denzel Washington,81026,30132,Ricky Schroder,0.0,alabama|mutiny|order|radio|submarine,http://www.imdb.com/title/tt0112740/?ref_=fn_tt_tt_1,194.0,English,USA,R,53000000.0,1995.0,10000.0,7.3,2.35,0,850
57,163,desperado,Action|Romance|Western,1995,Color,Robert Rodriguez,93.0,104.0,0.0,4000.0,Steve Buscemi,16000.0,25625110.0,Action|Crime|Thriller,Quentin Tarantino,138707,33758,Salma Hayek,0.0,crushed by a car|female frontal nudity|female nudity|female rear nudity|one against many,http://www.imdb.com/title/tt0112851/?ref_=fn_tt_tt_1,202.0,English,USA,R,7000000.0,1995.0,12000.0,7.2,1.85,0,3479
58,168,first knight,Action|Drama|Romance,1995,Color,Jerry Zucker,53.0,134.0,109.0,249.0,Ben Cross,919.0,37600435.0,Action|Adventure|Romance|Thriller,Julia Ormond,55350,1695,John Gielgud,3.0,battle|king|king arthur|knight|marriage,http://www.imdb.com/title/tt0113071/?ref_=fn_tt_tt_1,180.0,English,USA,PG-13,55000000.0,1995.0,303.0,5.9,1.85,0,552
59,170,hackers,Action|Adventure|Crime|Thriller,1995,Color,Iain Softley,79.0,107.0,34.0,472.0,Fisher Stevens,11000.0,7564000.0,Comedy|Crime|Drama|Thriller,Angelina Jolie Pitt,54650,13821,Lorraine Bracco,1.0,computer|computer virus|cyberpunk|fight the system|sexual fantasy,http://www.imdb.com/title/tt0113243/?ref_=fn_tt_tt_1,223.0,English,USA,PG-13,20000000.0,1995.0,922.0,6.2,2.35,12000,1320
60,175,kids,Drama,1995,Color,Larry Clark,71.0,91.0,184.0,82.0,Leo Fitzpatrick,3000.0,7417210.0,Drama,Rosario Dawson,59041,3310,Justin Pierce,1.0,coming of age|marijuana|rape|virgin|weed,http://www.imdb.com/title/tt0113540/?ref_=fn_tt_tt_1,408.0,English,USA,,1500000.0,1995.0,202.0,7.0,1.85,0,4405
61,180,mallrats,Comedy|Romance,1995,Color,Kevin Smith,93.0,123.0,0.0,781.0,Jason Mewes,1000.0,2122561.0,Comedy|Romance,Ethan Suplee,99033,3254,Joey Lauren Adams,6.0,comic|ex girlfriend|jay and silent bob|mall|teenager,http://www.imdb.com/title/tt0113749/?ref_=fn_tt_tt_1,434.0,English,USA,R,6000000.0,1995.0,898.0,7.2,1.85,0,3580
62,190,safe,Thriller,1995,Color,Boaz Yakin,258.0,94.0,132.0,317.0,Reggie Lee,26000.0,17120019.0,Action|Crime|Thriller,Jason Statham,83097,27759,Robert John Burke,2.0,bodyguard|gang war|russian|russian mafia|triad,http://www.imdb.com/title/tt1656190/?ref_=fn_tt_tt_1,134.0,English,USA,R,30000000.0,2012.0,828.0,6.5,2.35,12000,1534
63,94405,safe,Action|Crime|Thriller,2012,Color,Boaz Yakin,258.0,94.0,132.0,317.0,Reggie Lee,26000.0,17120019.0,Action|Crime|Thriller,Jason Statham,83097,27759,Robert John Burke,2.0,bodyguard|gang war|russian|russian mafia|triad,http://www.imdb.com/title/tt1656190/?ref_=fn_tt_tt_1,134.0,English,USA,R,30000000.0,2012.0,828.0,6.5,2.35,12000,1534
64,193,showgirls,Drama,1995,Color,Paul Verhoeven,181.0,131.0,719.0,683.0,Elizabeth Berkley,16000.0,20302961.0,Drama,Bobbie Phillips,49874,18913,Robert Davi,0.0,cult film|lap dance|lap dancing|stripper|striptease,http://www.imdb.com/title/tt0114436/?ref_=fn_tt_tt_1,450.0,English,France,NC-17,45000000.0,1995.0,893.0,4.6,2.35,0,1289
65,196,species,Horror|Sci-Fi,1995,Color,Roger Donaldson,97.0,108.0,79.0,25.0,Marg Helgenberger,900.0,60054449.0,Action|Horror|Sci-Fi|Thriller,Natasha Henstridge,61018,1715,Jordan Lund,0.0,alien|interspecies sex|scientist|sexual attraction|train,http://www.imdb.com/title/tt0114508/?ref_=fn_tt_tt_1,140.0,English,USA,R,35000000.0,1995.0,759.0,5.8,2.35,0,1419
